Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2017010010045,1,1,3,1,63,9,2,4,3,0,0,2,0,1,3
2017010010048,1,1,1,1,56,9,3,0,0,0,0,0,9,1,5
2017010010055,1,1,1,1,22,5,3,0,0,0,0,0,9,1,3
2017010010057,2,1,1,1,46,8,1,0,0,0,0,0,3,1,6
2017010010073,1,1,1,1,36,7,2,0,0,0,0,0,3,1,4
2017010010087,1,1,1,1,29,6,3,0,0,0,0,0,9,1,3
2017010010089,1,1,3,2,11,3,3,5,1,0,0,2,0,1,3
2017010010093,1,1,1,1,37,7,3,0,0,0,0,0,19,1,3
2017010010093,2,2,1,2,41,7,3,0,0,0,0,0,9,1,2
2017010010098,1,1,3,2,67,10,2,4,1,0,0,2,0,1,1
2017010010110,1,1,1,1,27,6,3,0,0,0,0,0,3,1,3
2017010010115,2,1,2,1,45,7,3,0,0,2,0,0,8,-1,-1
2017010010121,2,1,1,1,23,5,3,0,0,0,0,0,9,1,7
2017010010126,1,1,3,1,56,9,3,1,1,0,0,2,0,1,9
2017010010134,1,1,1,2,27,6,3,0,0,0,0,0,9,1,4
2017010010138,2,1,1,1,52,8,3,0,0,0,0,0,1,1,9
2017010010145,1,1,2,2,85,11,3,0,0,0,3,0,11,1,5
2017010010150,1,1,3,2,74,10,3,5,3,0,0,2,0,1,4
2017010010159,1,1,1,1,36,7,3,0,0,0,0,0,3,1,5
2017010010166,1,1,2,2,50,8,3,0,0,2,0,0,9,-1,-1
2017010010168,1,1,3,1,12,3,2,5,1,0,0,2,0,1,7
2017010010175,1,1,3,1,42,7,3,9,9,0,0,2,0,1,3
2017010010182,1,1,3,1,46,8,3,6,9,0,0,2,0,1,1
2017010010183,1,1,1,1,61,9,2,0,0,0,0,0,4,1,6
2017010010184,1,1,3,1,13,3,3,5,3,0,0,2,0,1,6
2017010010185,2,1,2,2,6,2,3,0,0,2,0,0,9,1,1
2017010010185,2,2,1,2,42,7,3,0,0,0,0,0,9,1,1
2017010010186,1,1,1,2,34,6,3,0,0,0,0,0,1,1,3
2017010010187,1,1,3,1,46,8,3,10,9,0,0,2,0,-1,-1
2017010010188,1,1,3,2,30,6,3,1,4,0,0,2,0,1,6
2017010010190,1,1,3,1,33,6,2,1,3,0,0,2,0,1,5
2017010010193,2,1,1,1,22,5,3,0,0,0,0,0,1,1,1
2017010010196,1,1,1,1,22,5,2,0,0,0,0,0,4,1,5
2017010010197,1,1,3,2,18,4,3,1,3,0,0,2,0,-1,-1
2017010010198,2,1,1,1,28,6,3,0,0,0,0,0,3,1,7
2017010010200,1,1,2,2,91,11,3,0,0,0,3,0,11,1,9
2017010010201,1,1,1,1,22,5,3,0,0,0,0,0,3,1,2
