Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
201401BS70317,1,1,1,2,50,8,3,0,0,0,0,0,9,-1
201401BS70317,2,2,1,1,52,8,3,0,0,0,0,0,8,1
201401BS70318,1,1,3,2,68,10,3,5,1,0,0,2,0,1
201401BS70319,1,1,1,1,50,8,2,0,0,0,0,0,1,1
201401BS70320,1,1,1,1,31,6,3,0,0,0,0,0,1,1
201401BS70321,2,1,1,1,35,6,3,0,0,0,0,0,1,1
201401BS70322,2,1,1,1,46,8,2,0,0,0,0,0,1,1
201401BS70323,2,1,1,2,32,6,3,0,0,0,0,0,1,1
201401BS70324,2,1,1,1,42,7,3,0,0,0,0,0,1,1
201401BS70325,2,1,1,1,31,6,3,0,0,0,0,0,3,1
201401BS70326,1,1,2,1,48,8,3,0,0,0,3,0,11,1
201401BS70327,1,1,1,1,46,8,3,0,0,0,0,0,5,1
201401BS70328,1,1,1,1,17,4,3,0,0,0,0,0,1,1
201401BS70329,1,1,1,1,26,6,3,0,0,0,0,0,5,1
201401BS70330,1,1,1,1,49,8,3,0,0,0,0,0,4,1
201401BS70331,1,1,3,1,32,6,3,6,9,0,0,2,0,1
201401BS70332,1,1,1,1,26,6,3,0,0,0,0,0,1,1
201401BS70334,1,1,1,1,13,3,3,0,0,0,0,0,1,1
201401BS70335,2,1,1,1,40,7,3,0,0,0,0,0,1,1
201401BS70336,2,1,1,2,34,6,3,0,0,0,0,0,1,1
201401BS70338,1,1,3,2,13,3,3,1,3,0,0,2,0,1
201401BS70339,2,1,1,1,48,8,3,0,0,0,0,0,1,1
201401BS70340,2,1,1,1,30,6,2,0,0,0,0,0,3,1
201401BS70341,1,1,3,1,53,8,3,9,5,0,0,2,0,1
201401BS70343,1,1,1,2,20,4,3,0,0,0,0,0,9,1
201401BS70344,1,1,3,2,14,3,3,5,1,0,0,2,0,1
201401BS70345,1,1,3,2,68,10,3,4,1,0,0,2,0,1
201401BS70347,1,1,1,1,43,7,3,0,0,0,0,0,1,1
201401BS70349,1,1,1,1,37,7,3,0,0,0,0,0,9,1
201401BS70351,2,1,1,2,47,8,3,0,0,0,0,0,3,1
201401BS70352,1,1,1,1,35,6,3,0,0,0,0,0,9,1
201401BS70353,1,1,3,2,26,6,3,5,3,0,0,2,0,1
201401BS70354,2,1,1,1,27,6,3,0,0,0,0,0,3,1
201401BS70355,1,1,3,2,92,11,3,4,1,0,0,2,0,1
201401BS70356,1,1,1,2,27,6,3,0,0,0,0,0,1,1
201401BS70357,2,1,1,2,85,11,2,0,0,0,0,0,9,1
201401BS70358,2,1,1,1,26,6,3,0,0,0,0,0,1,1
201401BS70359,1,1,3,2,32,6,3,9,9,0,0,2,0,1
201401BS70360,1,1,1,1,20,4,3,0,0,0,0,0,3,1
201401BS70361,1,1,2,2,54,8,3,0,0,0,3,0,11,1
201401BS70362,1,1,1,1,47,8,3,0,0,0,0,0,3,1
201401BS70365,1,2,2,1,10,2,3,0,0,2,0,0,9,1
201401BS70365,2,1,1,1,41,7,3,0,0,0,0,0,9,1
201401BS70366,1,1,3,1,3,1,3,5,3,0,0,2,0,1
201401BS70368,1,1,1,1,38,7,3,0,0,0,0,0,3,1
201401BS70369,1,1,1,1,36,7,3,0,0,0,0,0,19,1
201401BS70370,1,1,1,2,32,6,3,0,0,0,0,0,4,1
201401BS70370,1,2,3,2,17,4,3,1,1,0,0,2,0,-1
201401BS70371,1,1,3,2,60,9,3,4,3,0,0,2,0,-1
201401BS70372,2,1,1,1,35,6,3,0,0,0,0,0,1,1
201401BS70373,1,1,1,1,44,7,3,0,0,0,0,0,3,1
201401BS70374,2,1,1,1,25,5,3,0,0,0,0,0,1,1
201401BS70375,1,1,3,2,30,6,3,1,1,0,0,2,0,-1
201401BS70376,1,1,1,1,29,6,3,0,0,0,0,0,1,1
201401BS70378,1,1,1,1,43,7,3,0,0,0,0,0,1,-1
201401BS70379,1,1,2,2,69,10,2,0,0,0,2,0,11,1
201401BS70380,2,1,1,1,-1,-1,3,0,0,0,0,0,5,-1
201401BS70381,2,1,1,1,21,5,3,0,0,0,0,0,1,1
201401BS70385,1,1,1,2,56,9,3,0,0,0,0,0,9,1
201401BS70386,1,1,1,2,44,7,3,0,0,0,0,0,1,1
201401BS70388,2,1,1,1,22,5,2,0,0,0,0,0,3,1
201401BS70389,2,1,1,1,31,6,3,0,0,0,0,0,1,1
201401BS70391,2,1,1,1,47,8,2,0,0,0,0,0,5,-1
201401BS70392,1,1,3,2,29,6,2,6,9,0,0,2,0,-1
201401BS70393,1,1,3,1,69,10,2,1,1,0,0,2,0,-1
201401BS70394,2,1,1,1,35,6,3,0,0,0,0,0,1,1
201401BS70395,2,1,1,1,31,6,3,0,0,0,0,0,3,1
201401BS70396,1,1,3,1,35,6,3,1,1,0,0,2,0,1
201401BS70398,2,1,1,2,53,8,3,0,0,0,0,0,9,3
201401BS70398,2,2,3,1,43,7,3,9,6,0,0,2,0,1
201401BS70400,1,1,1,1,44,7,3,0,0,0,0,0,9,1
201401BS70403,1,1,1,1,31,6,3,0,0,0,0,0,1,1
201401BS70404,1,1,1,1,24,5,3,0,0,0,0,0,3,1
201401BS70405,1,1,1,1,21,5,3,0,0,0,0,0,1,1
201401BS70407,2,1,1,1,57,9,3,0,0,0,0,0,19,-1
201401BS70408,1,1,1,2,61,9,3,0,0,0,0,0,9,1
201401BS70408,1,2,2,1,73,10,3,0,0,2,0,0,9,1
201401BS70408,1,3,2,1,64,9,3,0,0,1,0,0,9,-1
201401BS70408,1,4,2,2,21,5,3,0,0,2,0,0,9,1
201401BS70408,1,5,2,2,53,8,3,0,0,2,0,0,9,-1
201401BS70409,1,2,1,1,64,9,3,0,0,0,0,0,19,1
201401BS70409,2,1,1,1,37,7,3,0,0,0,0,0,9,1
201401BS70413,1,1,1,1,33,6,3,0,0,0,0,0,9,1
201401BS70414,1,1,1,1,27,6,3,0,0,0,0,0,3,1
201401BS70415,1,1,3,2,12,3,3,5,1,0,0,2,0,1
201401BS70416,1,1,1,1,60,9,2,0,0,0,0,0,9,1
201401BS70417,2,1,1,1,-1,-1,3,0,0,0,0,0,3,-1
201401BS70418,2,1,1,1,25,5,3,0,0,0,0,0,9,-1
201401BS70418,2,2,2,1,25,5,3,0,0,1,0,0,9,1
201401BS70419,2,1,1,1,41,7,3,0,0,0,0,0,4,1
201401BS70420,2,1,1,1,40,7,3,0,0,0,0,0,1,1
201401BS70421,1,1,1,1,33,6,3,0,0,0,0,0,5,1
201401BS70423,2,1,1,1,33,6,3,0,0,0,0,0,1,1
