Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
201734WN00157,1,9,0,7,0,8,0,0,7,10,1,1,6,1,-1,-1,1796,1,16,-1,-1,-1
201734WN00157,2,9,0,3,0,8,0,0,0,0,3,1,6,2,51,8,1198,1,3,4,1,4
201734WN00227,1,9,0,18,0,0,0,0,0,0,1,1,6,1,-1,-1,1242,1,12,-1,-1,-1
201734WN00227,2,9,0,18,0,0,0,0,0,0,0,1,1,2,52,8,1242,1,6,-1,-1,-1
201734WN00247,1,9,0,14,0,0,0,0,0,0,4,1,6,2,27,6,2179,2,7,1,1,1
201734WN00257,1,9,0,9,0,8,0,0,0,0,3,1,2,1,26,6,-1,-1,-1,1,1,1
201734WN00277,1,9,0,9,0,8,0,0,0,0,1,1,2,2,43,7,1598,2,1,7,1,7
201734WN00297,1,9,0,13,0,0,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
201734WN00297,2,1,0,18,0,0,0,0,0,0,3,1,6,1,15,3,-1,-1,-1,5,1,5
201734WN00307,1,9,0,9,0,0,0,0,0,0,3,1,6,1,42,7,2987,2,9,7,1,7
201734WN00307,2,9,0,18,0,0,0,0,0,0,1,1,6,1,42,7,1896,2,14,1,1,1
201734WN00357,1,11,0,18,0,8,0,0,0,0,4,1,1,1,60,9,3900,2,11,4,1,4
201734WN00367,1,9,0,18,0,0,0,0,0,0,1,1,1,2,30,6,998,1,3,4,1,4
201734WN00367,2,9,0,2,0,0,0,0,0,0,3,1,6,1,-1,-1,1199,2,5,-1,-1,-1
201734WN00367,3,1,0,18,0,0,0,0,0,0,1,1,6,1,22,5,-1,-1,-1,2,1,2
201734WN00417,1,19,0,18,0,8,0,0,0,0,3,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
201734WN00427,1,9,0,17,0,8,0,0,0,0,1,1,1,1,-1,-1,1598,1,10,-1,-1,-1
201734WN00427,2,9,0,9,0,8,0,0,0,0,3,1,6,1,50,8,1596,1,6,5,1,5
201734WN00497,1,9,0,18,0,8,0,0,0,0,3,1,6,2,-1,-1,-1,-1,-1,-1,-1,-1
201734WN00527,1,98,0,2,0,0,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
201734WN00527,2,1,0,18,0,0,0,0,0,0,1,1,6,1,60,9,-1,-1,-1,5,1,5
201734WN00547,1,9,0,18,0,8,0,0,0,0,1,1,6,2,-1,-1,1598,1,18,-1,-1,-1
201734WN00547,2,1,0,7,0,8,0,0,0,0,1,1,6,2,41,7,-1,-1,-1,1,1,1
201734WN00587,1,9,0,1,0,0,0,0,0,0,2,1,6,1,-1,-1,1799,1,10,-1,-1,-1
201734WN00587,2,9,0,18,0,0,0,0,0,0,1,1,6,2,42,7,1598,1,12,2,1,2
201734WN00607,1,9,0,18,0,8,0,0,0,0,1,1,1,1,48,8,1794,1,14,5,1,5
201734WN00647,1,9,0,18,0,8,0,0,0,0,3,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
201734WN00667,1,9,0,18,0,8,0,0,0,0,1,1,2,1,55,8,2777,2,9,-1,-1,-1
201734WN00667,2,1,0,18,0,8,0,0,0,0,3,1,6,1,12,3,-1,-1,-1,2,1,2
201734WN00677,1,9,0,18,0,8,0,0,0,0,1,1,6,1,-1,-1,1598,1,10,-1,-1,-1
201734WN00677,2,9,0,3,0,8,0,0,0,0,2,1,6,2,36,7,1598,1,11,-1,-1,-1
201734WN00687,1,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
201734WN00687,2,9,0,18,0,8,0,0,0,0,3,1,6,2,26,6,999,1,2,3,1,3
201734WN00717,1,9,0,18,0,0,0,0,0,0,1,1,6,2,-1,-1,1769,1,15,-1,-1,-1
201734WN00717,2,9,0,2,0,0,0,0,0,0,2,1,6,1,47,8,1296,1,10,2,1,2
201734WN00797,1,9,0,18,0,8,0,0,0,0,4,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
201734WN00807,1,9,0,9,0,8,0,0,0,0,1,1,6,1,17,4,1248,2,8,5,1,5
201734WN00807,2,9,0,10,0,8,0,0,0,0,1,1,6,2,-1,-1,1997,2,8,-1,-1,-1
201734WN00807,3,9,0,3,0,8,0,0,0,0,1,1,6,2,-1,-1,1061,1,11,-1,-1,-1
201734WN00867,1,9,0,18,0,8,0,0,0,0,1,1,2,1,60,9,2151,2,15,3,1,3
201734WN00867,2,9,0,18,0,8,0,0,0,0,1,1,6,1,27,6,1968,2,1,2,1,2
201734WN00897,1,9,0,18,0,8,0,0,0,0,4,1,6,1,33,6,-1,-1,-1,9,1,9
201734WN00897,2,19,0,9,0,8,0,0,0,0,1,1,6,1,-1,-1,2198,2,2,-1,-1,-1
201734WN00947,1,9,0,18,0,8,0,0,1,11,1,1,6,2,22,5,1896,2,13,3,1,3
201734WN01007,1,9,0,18,0,8,0,0,0,0,1,1,6,1,-1,-1,1968,2,2,-1,-1,-1
201734WN01007,2,1,0,18,0,8,0,0,0,0,1,1,6,1,16,4,-1,-1,-1,9,3,9
201734WN01027,1,9,0,9,0,8,0,0,0,0,0,1,6,1,-1,-1,1598,1,10,-1,-1,-1
201734WN01027,2,9,0,18,0,8,0,0,0,0,2,1,6,1,-1,-1,1197,1,-1,-1,-1,-1
201734WN01047,1,19,0,18,0,8,0,0,0,0,1,1,6,1,-1,-1,2198,2,3,-1,-1,-1
201734WN01047,2,9,0,3,0,8,0,0,0,0,2,1,2,1,35,6,1598,2,7,1,1,1
201734WN01047,3,9,0,3,0,8,0,0,0,0,1,1,6,1,49,8,1587,1,10,1,1,1
201734WN01087,1,9,0,18,0,8,0,0,0,0,3,1,6,1,-1,-1,1149,1,4,-1,-1,-1
201734WN01107,1,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
201734WN01167,1,9,0,7,0,8,0,10,1,11,4,1,6,2,-1,-1,2400,2,9,-1,-1,-1
201734WN01217,1,9,0,18,0,8,0,7,1,3,1,1,6,1,41,7,-1,-1,-1,-1,-1,-1
201734WN01227,1,9,0,13,0,8,0,0,1,0,4,1,6,2,28,6,1229,1,5,-1,-1,-1
201734WN01227,2,21,1,18,0,8,0,0,0,0,3,1,1,1,43,7,10837,2,3,-1,-1,-1
201734WN01227,3,19,0,18,0,8,0,0,0,0,2,1,1,1,56,9,1598,2,1,6,2,6
201734WN01227,4,9,0,18,0,8,0,0,0,0,2,1,2,2,43,7,1998,1,9,8,1,8
201734WN01227,5,9,0,18,0,8,0,0,0,0,2,1,2,1,37,7,1999,1,8,8,1,8
201734WN01247,1,3,0,13,0,8,0,0,0,0,4,1,6,1,24,5,124,1,10,-1,-1,-1
201734WN01257,1,9,0,18,0,8,0,0,0,0,1,1,6,2,-1,-1,-1,-1,-1,-1,-1,-1
201734WN01257,2,1,0,18,0,8,0,0,0,0,0,1,6,1,14,3,-1,-1,-1,2,1,2
201734WN01287,1,9,0,9,0,8,1,0,0,0,3,1,6,1,44,7,1999,1,11,7,1,7
201734WN01287,2,19,0,13,0,8,1,10,7,0,1,1,1,2,32,6,-1,-1,-1,9,1,9
201734WN01287,3,9,0,18,0,8,0,0,0,0,1,1,6,1,64,9,1998,1,14,4,1,4
201734WN01367,1,9,0,18,0,8,0,0,0,0,1,1,6,1,-1,-1,1587,1,16,-1,-1,-1
201734WN01367,2,9,0,18,0,8,0,0,0,0,1,1,2,1,28,6,1968,2,12,4,1,4
201734WN01407,1,9,0,18,0,8,0,0,0,0,1,1,6,2,52,8,1968,2,3,-1,-1,-1
201734WN01407,2,9,0,3,0,8,0,0,0,0,2,1,6,2,23,5,2435,1,12,1,1,1
201734WN01437,1,9,0,18,0,8,0,0,0,0,1,1,1,2,39,7,1797,8,3,3,1,3
201734WN01447,1,19,0,3,0,8,0,0,0,0,1,1,6,1,72,10,-1,-1,-1,9,1,9
201734WN01447,2,9,0,18,0,8,1,0,0,0,4,1,1,1,29,6,998,1,2,-1,-1,-1
201734WN01467,1,9,0,18,0,8,1,0,1,11,1,1,6,1,17,4,1229,1,8,2,1,2
201734WN01467,2,9,0,18,0,8,0,0,0,0,1,1,2,1,32,6,1870,2,9,5,1,5
201734WN01477,1,9,0,9,0,8,0,0,0,0,1,1,6,2,46,8,1398,1,6,9,1,9
201734WN01517,1,9,0,1,0,0,0,0,0,0,2,1,6,2,46,8,-1,-1,-1,7,1,7
201734WN01517,2,9,0,2,0,0,0,0,0,0,1,1,6,2,35,6,1496,2,1,5,1,5
201734WN01527,1,9,0,18,0,0,0,0,0,0,0,1,6,2,51,8,1995,2,7,-1,-1,-1
201734WN01537,1,19,0,18,0,8,0,0,0,0,1,1,1,1,38,7,1598,2,6,9,1,9
201734WN01537,2,9,0,18,0,8,0,0,0,0,1,1,6,1,71,10,1598,1,8,-1,-1,-1
201734WN01567,1,3,0,18,0,0,0,0,0,0,1,1,6,1,17,4,124,1,8,8,3,8
201734WN01667,1,9,0,18,0,8,0,0,0,0,4,1,6,1,-1,-1,4398,1,13,-1,-1,-1
201734WN01677,1,9,0,16,0,0,1,0,0,0,1,1,6,1,30,6,1781,1,16,2,1,2
201734WN01677,2,21,0,17,0,0,0,0,0,0,3,1,6,1,44,7,-1,-1,-1,-1,-1,-1
201734WN01677,3,9,0,16,0,0,0,0,0,0,1,1,6,2,33,6,1586,1,3,-1,-1,-1
201734WN01677,4,9,0,17,0,0,0,0,0,0,2,1,6,1,25,5,1998,1,15,1,1,1
201734WN01757,1,9,0,18,0,8,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
201734WN01757,2,9,0,10,0,8,0,0,0,0,2,1,1,2,20,4,1149,1,13,8,1,8
201734WN01767,1,9,0,18,0,8,0,10,7,2,3,1,1,1,34,6,1598,2,1,5,1,5
201734WN01767,2,9,0,9,0,8,0,0,0,0,1,1,6,1,58,9,1798,1,2,10,1,10
